epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0429,0.58582,3.84109,1.21434,0.62876,0.3072,0.47688,0.3944,0.51683,3.24699,1.14101,0.000193351,0.000193351,0.000193351
2,105.709,0.55315,2.73681,1.18418,0.5996,0.70427,0.70866,0.59786,0.59035,2.43205,1.23693,0.000350806,0.000350806,0.000350806
3,149.098,0.5804,2.34539,1.18652,0.72204,0.66337,0.75545,0.63145,0.61249,2.09728,1.20234,0.000469452,0.000469452,0.000469452
4,199.112,0.53105,2.01188,1.14836,0.7607,0.65843,0.80197,0.68858,0.55474,1.98982,1.13828,0.000413364,0.000413364,0.000413364
5,238.911,0.49311,1.80705,1.09827,0.80928,0.78646,0.86559,0.76518,0.49736,1.61257,1.10084,0.000355152,0.000355152,0.000355152
6,283.637,0.46068,1.60395,1.08399,0.85421,0.79611,0.87985,0.77656,0.47541,1.44301,1.07733,0.00029694,0.00029694,0.00029694
7,328.611,0.40553,1.36592,1.03203,0.87702,0.84268,0.91348,0.82987,0.44127,1.22768,1.06744,0.000238728,0.000238728,0.000238728
8,380.576,0.37095,1.23556,0.99064,0.90158,0.86462,0.91622,0.84455,0.41638,1.14437,1.02973,0.000180516,0.000180516,0.000180516
9,424.84,0.35073,1.1291,0.9836,0.91665,0.88996,0.93502,0.87073,0.39141,1.10005,1.01878,0.000122304,0.000122304,0.000122304
10,468.923,0.30579,1.04662,0.94046,0.92294,0.88448,0.93492,0.88105,0.354,1.03575,0.99139,6.4092e-05,6.4092e-05,6.4092e-05
